0 10 1.0
0 24 -0.13365187070847825
0 25 -0.2457021482677003
0 26 -0.3402084134580769
0 27 -0.4203662229510917
0 28 -0.48871220274416627
0 29 -0.5472748609038022
0 30 -0.5976876548786931
0 31 -0.6412745243261433
0 32 -0.6791151423736245
0 33 -0.698104093708
1 10 -1.0
1 24 0.13365187070847825
1 25 0.2457021482677003
1 26 0.3402084134580769
1 27 0.4203662229510917
1 28 0.48871220274416627
1 29 0.5472748609038022
1 30 0.5976876548786931
1 31 0.6412745243261433
1 32 0.6791151423736245
1 33 0.698104093708
2 21 1.0
2 24 -0.3668488390765462
2 25 -0.752031011993895
2 26 -1.1505465186864057
2 27 -1.56239535909869
2 28 -1.9875775331837715
2 29 -2.426093040901624
2 30 -2.877941882217943
2 31 -3.3431240571032026
2 32 -3.82163956553182
2 33 -4.104832661269015
3 21 -1.0
3 24 0.3668488390765462
3 25 0.752031011993895
3 26 1.1505465186864057
3 27 1.56239535909869
3 28 1.9875775331837715
3 29 2.426093040901624
3 30 2.877941882217943
3 31 3.3431240571032026
3 32 3.82163956553182
3 33 4.104832661269015
4 22 1.0
4 23 -0.005
5 22 -1.0
5 23 0.005
6 23 1.0
6 24 1.0
6 25 1.0
6 26 1.0
6 27 1.0
6 28 1.0
6 29 1.0
6 30 1.0
6 31 1.0
6 32 1.0
6 33 1.0
7 23 -1.0
7 24 -1.0
7 25 -1.0
7 26 -1.0
7 27 -1.0
7 28 -1.0
7 29 -1.0
7 30 -1.0
7 31 -1.0
7 32 -1.0
7 33 -1.0
8 10 1.0
9 0 1.0
9 11 -184.0
10 1 1.0
10 12 -132.0
11 2 1.0
11 13 -83.0
12 3 1.0
12 14 -180.0
13 4 1.0
13 15 -97.0
14 5 1.0
14 16 -190.0
15 6 1.0
15 17 -71.0
16 7 1.0
16 18 -158.0
17 8 1.0
17 19 -191.0
18 9 1.0
18 20 -158.0
19 32 1.0
19 33 1.0
19 34 -1.0
20 23 1.0
20 24 1.0
20 25 1.0
20 26 1.0
20 27 1.0
20 28 1.0
20 29 1.0
20 30 1.0
20 34 1.0
21 28 1.0
21 29 1.0
21 30 1.0
21 31 1.0
21 32 1.0
21 33 1.0
21 35 -1.0
22 23 1.0
22 24 1.0
22 25 1.0
22 26 1.0
22 35 1.0
23 26 1.0
23 27 1.0
23 28 1.0
23 36 -1.0
24 23 1.0
24 24 1.0
24 30 1.0
24 31 1.0
24 32 1.0
24 33 1.0
24 36 1.0
25 25 1.0
25 29 1.0
25 33 1.0
25 37 -1.0
26 23 1.0
26 27 1.0
26 31 1.0
26 37 1.0
27 0 -1.0
28 1 -1.0
29 2 -1.0
30 3 -1.0
31 4 -1.0
32 5 -1.0
33 6 -1.0
34 7 -1.0
35 8 -1.0
36 9 -1.0
37 10 -1.0
38 21 -1.0
39 22 -1.0
40 23 -1.0
41 24 -1.0
42 25 -1.0
43 26 -1.0
44 27 -1.0
45 28 -1.0
46 29 -1.0
47 30 -1.0
48 31 -1.0
49 32 -1.0
50 33 -1.0
51 11 -1.0
52 11 1.0
53 12 -1.0
54 12 1.0
55 13 -1.0
56 13 1.0
57 14 -1.0
58 14 1.0
59 15 -1.0
60 15 1.0
61 16 -1.0
62 16 1.0
63 17 -1.0
64 17 1.0
65 18 -1.0
66 18 1.0
67 19 -1.0
68 19 1.0
69 20 -1.0
70 20 1.0
71 34 -1.0
72 34 1.0
73 35 -1.0
74 35 1.0
75 36 -1.0
76 36 1.0
77 37 -1.0
78 37 1.0
