0 4 1.0
0 12 -0.08556390034929738
0 13 -0.16380661965561036
0 14 -0.23535458672413898
0 15 -0.3007806306682208
0 16 -0.3606085671080227
0 17 -0.362371848378
1 4 -1.0
1 12 0.08556390034929738
1 13 0.16380661965561036
1 14 0.23535458672413898
1 15 0.3007806306682208
1 16 0.3606085671080227
1 17 0.362371848378
2 9 1.0
2 12 -0.8894768822273994
2 13 -1.7839537644547998
2 14 -2.678430646682188
2 15 -3.5729075289095693
2 16 -4.467384411136952
2 17 -4.504943823814017
3 9 -1.0
3 12 0.8894768822273994
3 13 1.7839537644547998
3 14 2.678430646682188
3 15 3.5729075289095693
3 16 4.467384411136952
3 17 4.504943823814017
4 10 1.0
4 11 -0.005
5 10 -1.0
5 11 0.005
6 11 1.0
6 12 1.0
6 13 1.0
6 14 1.0
6 15 1.0
6 16 1.0
6 17 1.0
7 11 -1.0
7 12 -1.0
7 13 -1.0
7 14 -1.0
7 15 -1.0
7 16 -1.0
7 17 -1.0
8 4 1.0
9 0 1.0
9 5 -122.0
10 1 1.0
10 6 -131.0
11 2 1.0
11 7 -64.0
12 3 1.0
12 8 -169.0
13 16 1.0
13 17 1.0
13 18 -1.0
14 11 1.0
14 12 1.0
14 13 1.0
14 14 1.0
14 18 1.0
15 14 1.0
15 15 1.0
15 16 1.0
15 17 1.0
15 19 -1.0
16 11 1.0
16 12 1.0
16 19 1.0
17 13 1.0
17 17 1.0
17 20 -1.0
18 11 1.0
18 15 1.0
18 20 1.0
19 0 -1.0
20 1 -1.0
21 2 -1.0
22 3 -1.0
23 4 -1.0
24 9 -1.0
25 10 -1.0
26 11 -1.0
27 12 -1.0
28 13 -1.0
29 14 -1.0
30 15 -1.0
31 16 -1.0
32 17 -1.0
33 5 -1.0
34 5 1.0
35 6 -1.0
36 6 1.0
37 7 -1.0
38 7 1.0
39 8 -1.0
40 8 1.0
41 18 -1.0
42 18 1.0
43 19 -1.0
44 19 1.0
45 20 -1.0
46 20 1.0
