0 5 1.0
0 9 -0.29503591029798487
0 10 -0.48884173258756436
0 11 -0.57697137947
1 5 -1.0
1 9 0.29503591029798487
1 10 0.48884173258756436
1 11 0.57697137947
2 6 1.0
2 9 -147.81040144744065
2 10 -313.95415242104264
2 11 -434.1968368159452
3 6 -1.0
3 9 147.81040144744065
3 10 313.95415242104264
3 11 434.1968368159452
4 7 1.0
4 8 -5.0
5 7 -1.0
5 8 5.0
6 8 1.0
6 9 1.0
6 10 1.0
6 11 1.0
7 8 -1.0
7 9 -1.0
7 10 -1.0
7 11 -1.0
8 5 1.0
9 0 1.0
10 1 1.0
11 2 1.0
12 3 1.0
13 4 1.0
14 11 1.0
14 12 -1.0
15 8 1.0
15 9 1.0
15 12 1.0
16 10 1.0
16 11 1.0
16 13 -1.0
17 8 1.0
17 13 1.0
18 0 -1.0
19 1 -1.0
20 2 -1.0
21 3 -1.0
22 4 -1.0
23 5 -1.0
24 6 -1.0
25 7 -1.0
26 8 -1.0
27 9 -1.0
28 10 -1.0
29 11 -1.0
30 12 -1.0
31 12 1.0
32 13 -1.0
33 13 1.0
